block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,06-Sep-2026 06:22:47,06-Sep-2026 06:23:47,60.015977,128,2611,334208,0.000179576721682306,5568.65049451748,1.00026628333333,0,12.0999666666667,30,0.916657589714725,0.00217287234646518,62.6333333333333,66,1902.98666666667,0.00141487900424416,Fashion-r10,56.25,57.0387642086855,1031744,451388,20586,8844,0.8993,0.8914,0.83,0.8993,0.8914,0.83,0.1,128,4.221,1
1,2,baseline,06-Sep-2026 06:24:53,06-Sep-2026 06:25:53,60.0159869,128,1888,241664,0.000248344755114539,4026.66043637116,1.00026644833333,0,12.5550333333333,30,0.652046617930055,0.00311797667862154,61.7,64,1787.31,0.00206971346728307,Fashion-r10,56.25,57.0387642086855,1031744,451388,20586,8844,0.8993,0.8914,0.83,0.8993,0.8914,0.83,0.1,128,4.221,1
1,3,baseline_ft,06-Sep-2026 06:27:00,06-Sep-2026 06:28:00,60.0292033,128,1880,240640,0.000249456463181516,4008.71553795884,1.00048672166667,0,12.4863666666667,30,0.580245933788562,0.00311480486665424,61.4,64,1846.16333333333,0.00206184913556506,Fashion-r10,56.25,57.0387642086855,1031744,451388,20586,8844,0.8993,0.8914,0.83,0.8993,0.8914,0.83,0.1,128,4.221,1
2,1,pruned,06-Sep-2026 06:29:04,06-Sep-2026 06:30:04,60.0165706,128,2641,338048,0.000177538605760129,5632.57774678648,1.00027617666667,0,12.3496,30,0.817675747216589,0.00219253076569529,61.2,65,1878.74333333333,0.00144314031078178,Fashion-r10,56.25,57.0387642086855,1031744,451388,20586,8844,0.8993,0.8914,0.83,0.8993,0.8914,0.83,0.1,128,4.221,1
2,2,baseline_ft,06-Sep-2026 06:31:10,06-Sep-2026 06:32:10,60.0179871,128,1882,240896,0.000249144805642269,4013.73007726212,1.000299785,0,12.5246333333333,30,0.771770578887782,0.00312044733757401,60.6666666666667,64,2007.75,0.002068807112958,Fashion-r10,56.25,57.0387642086855,1031744,451388,20586,8844,0.8993,0.8914,0.83,0.8993,0.8914,0.83,0.1,128,4.221,1
2,3,baseline,06-Sep-2026 06:33:17,06-Sep-2026 06:34:17,60.0227004,128,1888,241664,0.00024837253542108,4026.21005702036,1.00037834,0,12.5219,30,0.661969597697554,0.00311009605128923,60.9333333333333,64,1740.42,0.00206171557927685,Fashion-r10,56.25,57.0387642086855,1031744,451388,20586,8844,0.8993,0.8914,0.83,0.8993,0.8914,0.83,0.1,128,4.221,1
3,1,baseline,06-Sep-2026 06:35:23,06-Sep-2026 06:36:23,60.001823,128,1894,242432,0.000247499599887804,4040.41057219211,1.00003038333333,0,12.4419333333333,30,0.644223346006826,0.00307937352183073,61.1,65,2148.75,0.00203467771070431,Fashion-r10,56.25,57.0387642086855,1031744,451388,20586,8844,0.8993,0.8914,0.83,0.8993,0.8914,0.83,0.1,128,4.221,1
3,2,baseline_ft,06-Sep-2026 06:37:29,06-Sep-2026 06:38:29,60.0157444,128,1876,240128,0.000249932304437633,4001.08342236941,1.00026240666667,0,12.4676666666667,30,0.681939694640543,0.00311607266096027,60.5,64,2016.73666666667,0.00206110840392902,Fashion-r10,56.25,57.0387642086855,1031744,451388,20586,8844,0.8993,0.8914,0.83,0.8993,0.8914,0.83,0.1,128,4.221,1
3,3,pruned,06-Sep-2026 06:39:33,06-Sep-2026 06:40:33,60.0027405,128,2651,339328,0.000176828144155507,5655.20836502459,1.000045675,0,12.4286666666667,30,0.769768363427163,0.00219773806099408,59.9333333333333,62,1876.07666666667,0.00145134646451369,Fashion-r10,56.25,57.0387642086855,1031744,451388,20586,8844,0.8993,0.8914,0.83,0.8993,0.8914,0.83,0.1,128,4.221,1
