block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,05-Sep-2026 03:11:22,05-Sep-2026 03:12:22,60.0311319,128,1493,191104,0.000314128076335399,3183.41490409245,1.000518865,0,11.4599666666667,30,1.27426962131885,0.00359989728386779,61.9333333333333,64,2206.62666666667,0.00227396267365607,MNIST-r2,11.1322188449848,12.3773438259011,1031744,916888,20586,18038,0.9854,0.9892,0.9869,0.985449498540732,0.989186452717131,0.986833891917433,0.1135,128,4.221,1
1,2,baseline,05-Sep-2026 03:13:30,05-Sep-2026 03:14:30,60.0382566,128,1467,187776,0.000319733387653374,3127.60580726123,1.00063761,0,11.0046,30,1.23854184565895,0.00351853803777032,60.2,63,2312.67666666667,0.00216894340848543,MNIST-r2,11.1322188449848,12.3773438259011,1031744,916888,20586,18038,0.9854,0.9892,0.9869,0.985449498540732,0.989186452717131,0.986833891917433,0.1135,128,4.221,1
1,3,baseline_ft,05-Sep-2026 03:15:38,05-Sep-2026 03:16:38,60.0140336,128,1583,202624,0.000296184230890714,3376.27697799003,1.00023389333333,0,11.6341333333333,30,0.926504098036356,0.00344584683341335,60.7,63,2329.98333333333,0.00219565319482365,MNIST-r2,11.1322188449848,12.3773438259011,1031744,916888,20586,18038,0.9854,0.9892,0.9869,0.985449498540732,0.989186452717131,0.986833891917433,0.1135,128,4.221,1
2,1,pruned,05-Sep-2026 03:17:45,05-Sep-2026 03:18:45,60.0223334,128,1591,203648,0.000294735688049969,3392.87042779313,1.00037222333333,0,11.2899333333333,30,1.07531467514152,0.00332754626903828,59.3,62,2296.39666666667,0.00208346692977936,MNIST-r2,11.1322188449848,12.3773438259011,1031744,916888,20586,18038,0.9854,0.9892,0.9869,0.985449498540732,0.989186452717131,0.986833891917433,0.1135,128,4.221,1
2,2,baseline_ft,05-Sep-2026 03:19:53,05-Sep-2026 03:20:53,60.0003588,128,1490,190720,0.000314599196728188,3178.64765835367,1.00000598,0,11.1204,30,1.15608234404254,0.00349846890729614,59.6,64,2259.84666666667,0.00217054569790646,MNIST-r2,11.1322188449848,12.3773438259011,1031744,916888,20586,18038,0.9854,0.9892,0.9869,0.985449498540732,0.989186452717131,0.986833891917433,0.1135,128,4.221,1
2,3,baseline,05-Sep-2026 03:22:01,05-Sep-2026 03:23:01,60.019386,128,1603,205184,0.000292514942685589,3418.62877437633,1.0003231,0,11.782,30,0.828766511771851,0.00344641105472162,59.7666666666667,63,2348.58333333333,0.00221170548164574,MNIST-r2,11.1322188449848,12.3773438259011,1031744,916888,20586,18038,0.9854,0.9892,0.9869,0.985449498540732,0.989186452717131,0.986833891917433,0.1135,128,4.221,1
3,1,baseline,05-Sep-2026 03:24:10,05-Sep-2026 03:25:10,60.0117423,128,1419,181632,0.000330402915235201,3026.60767774443,1.000195705,0,10.6932,30,1.17749791419392,0.00353306445319305,58.7666666666667,61,2305.02666666667,0.00213843374798527,MNIST-r2,11.1322188449848,12.3773438259011,1031744,916888,20586,18038,0.9854,0.9892,0.9869,0.985449498540732,0.989186452717131,0.986833891917433,0.1135,128,4.221,1
3,2,baseline_ft,05-Sep-2026 03:26:20,05-Sep-2026 03:27:20,60.0290975,128,1502,192256,0.000312235235831391,3202.71348407329,1.00048495833333,0,11.0537333333333,30,1.17333800090503,0.00345136503415065,60.3333333333333,64,2259.81,0.00213342010370634,MNIST-r2,11.1322188449848,12.3773438259011,1031744,916888,20586,18038,0.9854,0.9892,0.9869,0.985449498540732,0.989186452717131,0.986833891917433,0.1135,128,4.221,1
3,3,pruned,05-Sep-2026 03:28:28,05-Sep-2026 03:29:28,60.0010799,128,1526,195328,0.000307181151191841,3255.408074747,1.00001799833333,0,10.9146333333333,30,1.16809442471808,0.00335276963217018,59.4666666666667,62,2356.60333333333,0.00205615799298942,MNIST-r2,11.1322188449848,12.3773438259011,1031744,916888,20586,18038,0.9854,0.9892,0.9869,0.985449498540732,0.989186452717131,0.986833891917433,0.1135,128,4.221,1
