block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,06-Sep-2026 08:14:40,06-Sep-2026 08:15:40,60.1132272,64,302,19328,0.00311016283112583,321.526574104809,1.00188712,0,12.2849666666667,30,0.85582351884153,0.0382082467082864,64.7666666666667,68,1866.1,0.0250802493981043,Chest-r2,11.1153846153846,12.4655706051055,21299200,18931712,70434,61654,0.613240418118467,0.574912891986063,0.522648083623693,0.609055621069182,0.560755699685535,0.547096108490566,0.554006968641115,64,4.221,1
1,2,baseline,06-Sep-2026 08:17:24,06-Sep-2026 08:18:24,60.1042567,64,286,18304,0.00328366787041084,304.537498755891,1.00173761166667,0,12.2685666666667,30,0.592671199380156,0.0402858981793267,63.9333333333333,66,1949.91666666667,0.0264255360983226,Chest-r2,11.1153846153846,12.4655706051055,21299200,18931712,70434,61654,0.613240418118467,0.574912891986063,0.522648083623693,0.609055621069182,0.560755699685535,0.547096108490566,0.554006968641115,64,4.221,1
1,3,baseline_ft,06-Sep-2026 08:20:07,06-Sep-2026 08:21:07,60.0732809,64,285,18240,0.00329349127741228,303.629163027785,1.00122134833333,0,12.3054827586207,29,0.861253306885199,0.0405280001298644,63.1034482758621,65,1949.72413793103,0.0266261734479072,Chest-r2,11.1153846153846,12.4655706051055,21299200,18931712,70434,61654,0.613240418118467,0.574912891986063,0.522648083623693,0.609055621069182,0.560755699685535,0.547096108490566,0.554006968641115,64,4.221,1
2,1,pruned,06-Sep-2026 08:22:47,06-Sep-2026 08:23:47,60.0100893,64,301,19264,0.00311514167877907,321.012686778321,1.000168155,0,12.3030333333333,30,0.817315980905597,0.0383256919120749,62.9333333333333,66,1966.51666666667,0.0251766788859484,Chest-r2,11.1153846153846,12.4655706051055,21299200,18931712,70434,61654,0.613240418118467,0.574912891986063,0.522648083623693,0.609055621069182,0.560755699685535,0.547096108490566,0.554006968641115,64,4.221,1
2,2,baseline_ft,06-Sep-2026 08:25:29,06-Sep-2026 08:26:29,60.1192674,64,284,18176,0.00330761814480634,302.332360091268,1.00198779,0,12.2712333333333,30,0.905090610184239,0.0405885540324857,62.8333333333333,65,1965.21,0.0266270978432581,Chest-r2,11.1153846153846,12.4655706051055,21299200,18931712,70434,61654,0.613240418118467,0.574912891986063,0.522648083623693,0.609055621069182,0.560755699685535,0.547096108490566,0.554006968641115,64,4.221,1
2,3,baseline,06-Sep-2026 08:28:11,06-Sep-2026 08:29:11,60.1750629,64,200,12800,0.0047011767890625,212.712698302805,1.002917715,0,9.31986666666667,30,2.9039064976556,0.0438143408504906,59.7666666666667,63,1709.85333333333,0.0239706736238578,Chest-r2,11.1153846153846,12.4655706051055,21299200,18931712,70434,61654,0.613240418118467,0.574912891986063,0.522648083623693,0.609055621069182,0.560755699685535,0.547096108490566,0.554006968641115,64,4.221,1
3,1,baseline,06-Sep-2026 08:31:41,06-Sep-2026 08:32:41,60.0319918,64,135,8640,0.00694814719907407,143.923260597194,1.00053319666667,0,6.24106666666667,30,0.226096093902926,0.0433638498792346,51.7,54,1519.60666666667,0.0140357205519429,Chest-r2,11.1153846153846,12.4655706051055,21299200,18931712,70434,61654,0.613240418118467,0.574912891986063,0.522648083623693,0.609055621069182,0.560755699685535,0.547096108490566,0.554006968641115,64,4.221,1
3,2,baseline_ft,06-Sep-2026 08:35:10,06-Sep-2026 08:36:10,60.3715205,64,133,8512,0.00709251885573308,140.9936329167,1.00619200833333,0,6.08996666666667,30,0.185141229099959,0.0431932034141193,51.1333333333333,52,1504.98666666667,0.0132556813240699,Chest-r2,11.1153846153846,12.4655706051055,21299200,18931712,70434,61654,0.613240418118467,0.574912891986063,0.522648083623693,0.609055621069182,0.560755699685535,0.547096108490566,0.554006968641115,64,4.221,1
3,3,pruned,06-Sep-2026 08:38:36,06-Sep-2026 08:39:36,60.0665574,64,137,8768,0.00685065663777372,145.971408709366,1.00110929,0,6.04873333333333,30,0.136804651396355,0.0414377951601232,51.2666666666667,52,1521.59333333333,0.0125211734920803,Chest-r2,11.1153846153846,12.4655706051055,21299200,18931712,70434,61654,0.613240418118467,0.574912891986063,0.522648083623693,0.609055621069182,0.560755699685535,0.547096108490566,0.554006968641115,64,4.221,1
