block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,05-Sep-2026 05:26:42,05-Sep-2026 05:27:42,60.030136,128,1573,201344,0.000298147131277813,3354.0487064697,1.00050226666667,0,10.8461034482759,29,1.15289747855528,0.00323373462864585,61.1379310344828,64,2341.16896551724,0.0019752555875222,Fashion-r2,13.9912613981763,10.6091518507724,1031744,887390,20586,18402,0.8993,0.8914,0.8865,0.8993,0.8914,0.8865,0.1,128,4.221,1
1,2,baseline,05-Sep-2026 05:28:50,05-Sep-2026 05:29:50,60.0363954,128,1491,190848,0.000314577021504024,3178.87172819839,1.00060659,0,11.1187333333333,30,1.24274542940171,0.00349769801489751,60.4333333333333,65,2281.08666666667,0.00216986840712902,Fashion-r2,13.9912613981763,10.6091518507724,1031744,887390,20586,18402,0.8993,0.8914,0.8865,0.8993,0.8914,0.8865,0.1,128,4.221,1
1,3,baseline_ft,05-Sep-2026 05:30:59,05-Sep-2026 05:31:59,60.0130996,128,1452,185856,0.000322901061036501,3096.92385893696,1.00021832666667,0,10.9451724137931,29,1.14106748482555,0.00353420778564124,60.1034482758621,62,2342.89310344828,0.00217124240700617,Fashion-r2,13.9912613981763,10.6091518507724,1031744,887390,20586,18402,0.8993,0.8914,0.8865,0.8993,0.8914,0.8865,0.1,128,4.221,1
2,1,pruned,05-Sep-2026 05:33:06,05-Sep-2026 05:34:06,60.0213072,128,1571,201088,0.000298482789624443,3350.27691632814,1.00035512,0,10.7694333333333,30,1.21209137254676,0.0032144905040078,59.3333333333333,63,2356.90666666667,0.00195459464900302,Fashion-r2,13.9912613981763,10.6091518507724,1031744,887390,20586,18402,0.8993,0.8914,0.8865,0.8993,0.8914,0.8865,0.1,128,4.221,1
2,2,baseline_ft,05-Sep-2026 05:35:14,05-Sep-2026 05:36:14,60.0276638,128,1407,180096,0.000333309256174485,3000.21671008293,1.00046106333333,0,10.5003,30,1.07724777510354,0.00349984718260894,58.9333333333333,62,2344.93,0.00209294881229644,Fashion-r2,13.9912613981763,10.6091518507724,1031744,887390,20586,18402,0.8993,0.8914,0.8865,0.8993,0.8914,0.8865,0.1,128,4.221,1
2,3,baseline,05-Sep-2026 05:37:22,05-Sep-2026 05:38:22,60.0083748,128,1463,187264,0.000320448002819549,3120.63108897927,1.00013958,0,11.0191,30,1.2628837921257,0.00353104858786889,59.3,62,2395.49333333333,0.00217843756796758,Fashion-r2,13.9912613981763,10.6091518507724,1031744,887390,20586,18402,0.8993,0.8914,0.8865,0.8993,0.8914,0.8865,0.1,128,4.221,1
3,1,baseline,05-Sep-2026 05:39:31,05-Sep-2026 05:40:31,60.0011782,128,1500,192000,0.000312506136458333,3199.93716390056,1.00001963666667,0,11.2549,30,1.16414987037308,0.0035172253152249,60,63,2248.15666666667,0.00219813691323427,Fashion-r2,13.9912613981763,10.6091518507724,1031744,887390,20586,18402,0.8993,0.8914,0.8865,0.8993,0.8914,0.8865,0.1,128,4.221,1
3,2,baseline_ft,05-Sep-2026 05:41:38,05-Sep-2026 05:42:38,60.0141124,128,1500,192000,0.000312573502083333,3199.247515656,1.00023520666667,0,11.2422666666667,30,1.17214221607817,0.00351403466335472,59.4333333333333,62,2307.39,0.00219466191106097,Fashion-r2,13.9912613981763,10.6091518507724,1031744,887390,20586,18402,0.8993,0.8914,0.8865,0.8993,0.8914,0.8865,0.1,128,4.221,1
3,3,pruned,05-Sep-2026 05:43:45,05-Sep-2026 05:44:45,60.0038585,128,1650,211200,0.000284109178503788,3519.77364922291,1.00006430833333,0,11.2838,30,1.26475074278662,0.00320583114840104,59.4,62,2280.77,0.00200660630593655,Fashion-r2,13.9912613981763,10.6091518507724,1031744,887390,20586,18402,0.8993,0.8914,0.8865,0.8993,0.8914,0.8865,0.1,128,4.221,1
