block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,05-Sep-2026 13:00:52,05-Sep-2026 13:01:52,60.0209599,128,1689,216192,0.000277628033877294,3601.94172769303,1.00034933166667,0,10.9926333333333,30,1.47934807364207,0.00305186317946734,60.0333333333333,63,2205.29333333333,0.00187999524847128,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
1,2,baseline,05-Sep-2026 13:03:00,05-Sep-2026 13:04:00,60.0133166,128,1500,192000,0.000312569357291667,3199.28993892665,1.00022194333333,0,11.4982333333333,30,1.15065114049674,0.00359399540298962,59.3,62,2224.56,0.00227464014586149,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
1,3,baseline_ft,05-Sep-2026 13:05:08,05-Sep-2026 13:06:08,60.0169561,128,1423,182144,0.000329502789551124,3034.87567241018,1.00028260166667,0,10.6524666666667,30,1.42000824993556,0.00351001748226703,58.1,61,2197.34333333333,0.00211918620757174,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,1,pruned,05-Sep-2026 13:07:15,05-Sep-2026 13:08:15,60.0169846,128,1702,217856,0.000275489243353408,3629.9057917015,1.00028307666667,0,11.4364333333333,30,1.40512210006531,0.00315061436566169,58.4666666666667,62,2126.14666666667,0.00198777426946696,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,2,baseline_ft,05-Sep-2026 13:09:23,05-Sep-2026 13:10:23,60.0414947,128,1475,188800,0.000318016391419492,3144.49200412727,1.00069157833333,0,11.1595,30,1.24022272054326,0.00354890392004582,58.7666666666667,61,2243.88333333333,0.00220655673186414,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,3,baseline,05-Sep-2026 13:11:31,05-Sep-2026 13:12:31,60.034152,128,1381,176768,0.000339621153149891,2944.45734821073,1.0005692,0,10.3687931034483,29,1.36909822717913,0.00352146147056574,57.3103448275862,62,2208.7724137931,0.00208792058312005,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,1,baseline,05-Sep-2026 13:13:38,05-Sep-2026 13:14:38,60.0002012,128,1496,191488,0.000313336612215909,3191.455964651,1.00000335333333,0,11.3986,30,1.23115377901634,0.00357159870800426,58.5,62,2191.64333333333,0.00224900486784091,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,2,baseline_ft,05-Sep-2026 13:15:47,05-Sep-2026 13:16:47,60.0201692,128,1470,188160,0.000318984742772109,3134.94617739265,1.00033615333333,0,11.0704666666667,30,1.19799486883172,0.00353130996203387,57.9,61,2168.36,0.0021848753627928,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,3,pruned,05-Sep-2026 13:17:55,05-Sep-2026 13:18:55,60.0157133,128,1802,230656,0.00026019576035308,3843.26016166836,1.00026188833333,0,11.4476333333333,30,1.10144818411891,0.00297862565940993,58.3333333333333,62,2140.78,0.00188033935495958,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
4,1,baseline_ft,05-Sep-2026 13:20:03,05-Sep-2026 13:21:03,60.0052092,128,1396,178688,0.000335809954781519,2977.8747942437,1.00008682,0,10.7015666666667,30,1.32811875464387,0.00359369261842474,58,61,2235.86666666667,0.00217623879929195,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
