block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,06-Sep-2026 03:10:26,06-Sep-2026 03:11:26,60.0260247,128,949,121472,0.000494155234951265,2023.65558284255,1.000433745,0,6.00363333333333,30,0.46622818768121,0.00296672684039458,51.4666666666667,54,1541.90666666667,0.00088089759366529,MNIST-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
1,2,baseline,06-Sep-2026 03:12:40,06-Sep-2026 03:13:40,60.042608,128,824,105472,0.000569275333737864,1756.61923279548,1.00071013333333,0,5.8996,30,0.215052455509556,0.0033584967589199,50.5666666666667,52,1544.56,0.000955585575212379,MNIST-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
1,3,baseline_ft,06-Sep-2026 03:14:55,06-Sep-2026 03:15:55,60.0176863,128,853,109184,0.00054969305301143,1819.19708557642,1.00029477166667,0,5.8876,30,0.336959487997777,0.0032363728189101,50.6,52,1571.5,0.00091611844214885,MNIST-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,1,pruned,06-Sep-2026 03:17:00,06-Sep-2026 03:18:00,60.0166994,128,2207,282496,0.000212451501614182,4706.95661081289,1.00027832333333,0,12.4991333333333,30,0.787528509974711,0.00265545964554254,59.8,65,2108.17666666667,0.00175870185722908,MNIST-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,2,baseline_ft,06-Sep-2026 03:19:06,06-Sep-2026 03:20:06,60.0219123,128,1896,242688,0.000247321302660206,4043.32335809301,1.000365205,0,12.4335666666667,30,0.740227722805081,0.00307508590471251,60.4333333333333,63,1823.53666666667,0.00203114268618378,MNIST-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,3,baseline,06-Sep-2026 03:21:21,06-Sep-2026 03:22:21,60.0580141,128,830,106240,0.000565305102597892,1768.9562599107,1.00096690166667,0,5.8743,30,0.189484081762504,0.00332077176419079,51.0333333333333,52,1533.25333333333,0.000934618926125094,MNIST-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,1,baseline,06-Sep-2026 03:23:36,06-Sep-2026 03:24:36,60.0152465,128,834,106752,0.000562193181392386,1778.74800530895,1.00025410833333,0,5.9007,30,0.224443549465231,0.00331733330544205,49.9,52,1544.90333333333,0.000944315886784791,MNIST-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,2,baseline_ft,06-Sep-2026 03:25:50,06-Sep-2026 03:26:50,60.0116069,128,836,107008,0.000560814209218002,1783.12172474089,1.00019344833333,0,5.90293333333333,30,0.146682611463483,0.00331044888939992,49.8666666666667,51,1522.96,0.000943252112290733,MNIST-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,3,pruned,06-Sep-2026 03:28:00,06-Sep-2026 03:29:00,60.0044262,128,2182,279296,0.000214841695548808,4654.58996423167,1.00007377,0,12.2699,30,1.17944204663871,0.00263608612021432,57.9333333333333,63,2010.43333333333,0.0017292393233028,MNIST-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
