block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,05-Sep-2026 06:00:22,05-Sep-2026 06:01:22,60.0221742,128,1635,209280,0.000286803202408257,3486.71141606197,1.00036957,0,10.7223333333333,30,1.23028747224696,0.0030751995372888,60.8666666666667,64,2328.32333333333,0.00186460321992355,Fashion-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
1,2,baseline,05-Sep-2026 06:02:30,05-Sep-2026 06:03:30,60.0328827,128,1474,188672,0.000318186496671472,3142.81093151637,1.000548045,0,11.1364,30,1.07661732707844,0.00354345210153218,60.5333333333333,64,2330.29333333333,0.0022003868990819,Fashion-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
1,3,baseline_ft,05-Sep-2026 06:04:38,05-Sep-2026 06:05:38,60.0186356,128,1501,192128,0.000312388801215856,3201.13908087574,1.00031059333333,0,11.2252666666667,30,1.19926879829949,0.00350664759732831,60.5666666666667,63,2313.71333333333,0.00218805446739618,Fashion-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
2,1,pruned,05-Sep-2026 06:06:45,05-Sep-2026 06:07:46,60.031843,128,1737,222336,0.000270005050913932,3703.63441948634,1.00053071666667,0,11.2731666666667,30,1.13571745767958,0.00304381193979458,59.6333333333333,63,2309.68,0.00190412061988687,Fashion-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
2,2,baseline_ft,05-Sep-2026 06:08:54,05-Sep-2026 06:09:54,60.0032684,128,1460,186880,0.000321079133133562,3114.4970096329,1.00005447333333,0,11.0336896551724,29,1.08274964470253,0.00354268750974751,59.3448275862069,62,2346.02413793104,0.00218741248879074,Fashion-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
2,3,baseline,05-Sep-2026 06:11:03,05-Sep-2026 06:12:03,60.0009556,128,1475,188800,0.000317801671610169,3146.61655155372,1.00001592666667,0,11.1511,30,1.11850572578807,0.00354383822029216,59.2666666666667,62,2308.02666666667,0.00220239736442564,Fashion-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
3,1,baseline,05-Sep-2026 06:13:11,05-Sep-2026 06:14:11,60.0233743,128,1444,184832,0.000324745575982514,3079.33371216686,1.00038957166667,0,10.6439655172414,29,1.11280862437472,0.00345658071263457,58.1034482758621,63,2328.76206896552,0.00208582963641238,Fashion-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
3,2,baseline_ft,05-Sep-2026 06:15:19,05-Sep-2026 06:16:19,60.0227151,128,1541,197248,0.000304300753873297,3286.22255210178,1.000378585,0,11.6349333333333,30,1.05351771774811,0.00354051898459888,60.2333333333333,64,2225.89333333333,0.00225606550249969,Fashion-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
3,3,pruned,05-Sep-2026 06:17:25,05-Sep-2026 06:18:25,60.008439,128,1759,225152,0.000266524121482376,3752.00561374376,1.00014065,0,11.3148333333333,30,1.15205100711232,0.00301567601388617,58.9333333333333,62,2342.64333333333,0.00189067769710906,Fashion-r4,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
