block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,04-Sep-2026 03:30:01,04-Sep-2026 03:31:01,60.0115719,128,2656,339968,0.000176521236998776,5665.04074525,1.000192865,0,24.6477333333333,30,5.14944726148842,0.00435084837721597,80.5666666666667,86,2991.02,0.00360575223584414,MNIST-seed5,22.2644376899696,24.7546876518022,1031744,802032,20586,15490,0.9885,0.9893,0.985,0.988428489399873,0.989085380092745,0.984585699587562,0.1135,128,4.221,5
1,2,baseline,04-Sep-2026 03:32:07,04-Sep-2026 03:33:07,60.0006072,128,2409,308352,0.00019458478362391,5139.14799182232,1.00001012,0,23.6551666666667,30,4.6756290086401,0.00460293548742087,79.3,88,2939.52,0.00378159311574434,MNIST-seed5,22.2644376899696,24.7546876518022,1031744,802032,20586,15490,0.9885,0.9893,0.985,0.988428489399873,0.989085380092745,0.984585699587562,0.1135,128,4.221,5
1,3,baseline_ft,04-Sep-2026 03:34:13,04-Sep-2026 03:35:13,60.0091696,128,2441,312448,0.000192061301720606,5206.67094850118,1.00015282666667,0,24.7159333333333,30,3.28002469432812,0.00474697432923973,79.1,85,3023.94,0.00393628357467705,MNIST-seed5,22.2644376899696,24.7546876518022,1031744,802032,20586,15490,0.9885,0.9893,0.985,0.988428489399873,0.989085380092745,0.984585699587562,0.1135,128,4.221,5
2,1,baseline_ft,04-Sep-2026 03:36:19,04-Sep-2026 03:37:19,60.0217032,128,2424,310272,0.000193448661819307,5169.33014989818,1.00036172,0,24.1432333333333,30,4.29806099572685,0.00467047618032462,78.0666666666667,84,2994.03333333333,0.00385392937878532,MNIST-seed5,22.2644376899696,24.7546876518022,1031744,802032,20586,15490,0.9885,0.9893,0.985,0.988428489399873,0.989085380092745,0.984585699587562,0.1135,128,4.221,5
2,2,pruned,04-Sep-2026 03:38:24,04-Sep-2026 03:39:24,60.0039711,128,2704,346112,0.000173365763394508,5768.15156822179,1.000066185,0,23.9481,30,4.62794301778469,0.00415178063834802,78,86,2759.58666666667,0.0034200037510598,MNIST-seed5,22.2644376899696,24.7546876518022,1031744,802032,20586,15490,0.9885,0.9893,0.985,0.988428489399873,0.989085380092745,0.984585699587562,0.1135,128,4.221,5
2,3,baseline,04-Sep-2026 03:40:30,04-Sep-2026 03:41:30,60.0098427,128,2434,311552,0.000192615815979355,5191.68166391478,1.000164045,0,24.2375,30,4.18005675386319,0.00466852583979962,77.8,85,2850.36333333333,0.00385549448055076,MNIST-seed5,22.2644376899696,24.7546876518022,1031744,802032,20586,15490,0.9885,0.9893,0.985,0.988428489399873,0.989085380092745,0.984585699587562,0.1135,128,4.221,5
3,1,pruned,04-Sep-2026 03:42:36,04-Sep-2026 03:43:36,60.0008429,128,2659,340352,0.000176290554778582,5672.45364481371,1.00001404833333,0,24.7450666666667,30,5.62921141615911,0.00436232153069967,77.6333333333333,84,2832.72333333333,0.00361819909897927,MNIST-seed5,22.2644376899696,24.7546876518022,1031744,802032,20586,15490,0.9885,0.9893,0.985,0.988428489399873,0.989085380092745,0.984585699587562,0.1135,128,4.221,5
3,2,baseline_ft,04-Sep-2026 03:44:42,04-Sep-2026 03:45:42,60.0111116,128,2438,312064,0.000192303859464725,5200.1036421395,1.00018519333333,0,24.0465,30,4.4267922203407,0.00462423475661851,78,85,2752.63,0.00381252016581791,MNIST-seed5,22.2644376899696,24.7546876518022,1031744,802032,20586,15490,0.9885,0.9893,0.985,0.988428489399873,0.989085380092745,0.984585699587562,0.1135,128,4.221,5
3,3,baseline,04-Sep-2026 03:46:48,04-Sep-2026 03:47:48,60.0011537,128,2408,308224,0.000194667364319456,5136.96789133573,1.00001922833333,0,24.2753666666667,30,3.99664721108645,0.00472562164688838,76.8333333333333,83,2881.3,0.00390393070209596,MNIST-seed5,22.2644376899696,24.7546876518022,1031744,802032,20586,15490,0.9885,0.9893,0.985,0.988428489399873,0.989085380092745,0.984585699587562,0.1135,128,4.221,5
