block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,06-Sep-2026 05:51:55,06-Sep-2026 05:52:55,60.0128696,128,2369,303232,0.000197910740291262,5052.78287842446,1.00021449333333,0,12.4694333333333,30,0.743651136382967,0.00246783478201254,61.8333333333333,64,1992.13,0.00163245354724312,Fashion-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.8993,0.8914,0.8647,0.8993,0.8914,0.8647,0.1,128,4.221,1
1,2,baseline,06-Sep-2026 05:54:01,06-Sep-2026 05:55:01,60.0251668,128,1905,243840,0.000246166202427822,4062.29608344878,1.00041944666667,0,12.4755333333333,30,0.721511571027407,0.00307105466392837,60.8333333333333,64,1997.48666666667,0.00203198712348053,Fashion-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.8993,0.8914,0.8647,0.8993,0.8914,0.8647,0.1,128,4.221,1
1,3,baseline_ft,06-Sep-2026 05:56:08,06-Sep-2026 05:57:08,60.001565,128,1889,241792,0.000248153640318952,4029.76155705272,1.00002608333333,0,12.5217666666667,30,0.692733151754866,0.00310732198155784,60.6,64,1914.64,0.00205986546577155,Fashion-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.8993,0.8914,0.8647,0.8993,0.8914,0.8647,0.1,128,4.221,1
2,1,pruned,06-Sep-2026 05:58:13,06-Sep-2026 05:59:13,60.0115703,128,2377,304256,0.000197240384084455,5069.95565153542,1.00019283833333,0,12.4306,30,0.916085020899939,0.00245181631840023,60.1333333333333,63,2028.38666666667,0.00161926465717974,Fashion-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.8993,0.8914,0.8647,0.8993,0.8914,0.8647,0.1,128,4.221,1
2,2,baseline_ft,06-Sep-2026 06:00:20,06-Sep-2026 06:01:20,60.0145261,128,1888,241664,0.000248338710358183,4026.75844840171,1.00024210166667,0,12.3712333333333,30,0.721426445378844,0.00307225613154017,60.9666666666667,67,1929.28,0.00202401843511828,Fashion-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.8993,0.8914,0.8647,0.8993,0.8914,0.8647,0.1,128,4.221,1
2,3,baseline,06-Sep-2026 06:02:27,06-Sep-2026 06:03:27,60.0247539,128,1890,241920,0.000248118195684524,4030.33722392321,1.000412565,0,12.4897666666667,30,0.586893909424472,0.00309893836985404,60.9333333333333,64,1974.85666666667,0.00205163146586967,Fashion-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.8993,0.8914,0.8647,0.8993,0.8914,0.8647,0.1,128,4.221,1
3,1,baseline,06-Sep-2026 06:04:34,06-Sep-2026 06:05:34,60.0259213,128,1872,239616,0.000250508819527911,3991.87542332649,1.00043202166667,0,12.3067,30,0.657828095666547,0.00308293688928415,61.1666666666667,67,2041.33333333333,0.00202553916205683,Fashion-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.8993,0.8914,0.8647,0.8993,0.8914,0.8647,0.1,128,4.221,1
3,2,baseline_ft,06-Sep-2026 06:06:47,06-Sep-2026 06:07:47,60.0202284,128,1700,217600,0.000275828255514706,3625.44438434693,1.00033714,0,11.9882666666667,30,1.17153079737385,0.00330670268131177,63.3,69,2014.06666666667,0.00214243161478419,Fashion-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.8993,0.8914,0.8647,0.8993,0.8914,0.8647,0.1,128,4.221,1
3,3,pruned,06-Sep-2026 06:08:52,06-Sep-2026 06:09:52,60.0196476,128,2379,304512,0.000197101091582598,5073.53861904381,1.00032746,0,12.5092666666667,30,0.767122520148861,0.0024655901148978,62.2666666666667,67,2063.63333333333,0.00163362640732766,Fashion-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.8993,0.8914,0.8647,0.8993,0.8914,0.8647,0.1,128,4.221,1
