block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,06-Sep-2026 03:49:13,06-Sep-2026 03:50:13,60.00568,128,2394,306432,0.000195820540935673,5106.71656416526,1.00009466666667,0,12.4371666666667,30,0.630780145497639,0.00243545270437378,60.2,63,1905.00666666667,0.00160889420108431,MNIST-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.9854,0.9892,0.973,0.985449498540732,0.989186452717131,0.973091866727705,0.1135,128,4.221,1
1,2,baseline,06-Sep-2026 03:51:19,06-Sep-2026 03:52:19,60.0027674,128,1886,241408,0.000248553351173118,4023.28109953142,1.00004612333333,0,12.4408666666667,30,0.684413956876842,0.00309221910149793,60.8333333333333,64,2055.99333333333,0.0020430754061962,MNIST-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.9854,0.9892,0.973,0.985449498540732,0.989186452717131,0.973091866727705,0.1135,128,4.221,1
1,3,baseline_ft,06-Sep-2026 03:53:25,06-Sep-2026 03:54:25,60.027766,128,1904,243712,0.000246306156446954,4059.98783962742,1.00046276666667,0,12.5467,30,0.638313680859508,0.003090329453093,61.2,64,1916.66666666667,0.0020506711667304,MNIST-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.9854,0.9892,0.973,0.985449498540732,0.989186452717131,0.973091866727705,0.1135,128,4.221,1
2,1,pruned,06-Sep-2026 03:55:30,06-Sep-2026 03:56:30,60.0117223,128,2379,304512,0.000197075065350462,5074.20864340032,1.00019537166667,0,12.4754666666667,30,0.691372534607208,0.00245860340861085,61.0333333333333,64,1722.48333333333,0.00162674955776655,MNIST-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.9854,0.9892,0.973,0.985449498540732,0.989186452717131,0.973091866727705,0.1135,128,4.221,1
2,2,baseline_ft,06-Sep-2026 03:57:38,06-Sep-2026 03:58:38,60.0241589,128,1878,240384,0.000249701140258919,4004.78747899623,1.00040264833333,0,12.2888666666667,30,0.651446704800479,0.00306854401915649,61,64,2029.39333333333,0.00201455550612359,MNIST-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.9854,0.9892,0.973,0.985449498540732,0.989186452717131,0.973091866727705,0.1135,128,4.221,1
2,3,baseline,06-Sep-2026 03:59:46,06-Sep-2026 04:00:46,60.0180128,128,1887,241536,0.000248484750927398,4024.3918239159,1.00030021333333,0,12.2584,30,0.971629367395926,0.00304602547076842,61.3333333333333,66,2050.36,0.00199717133710387,MNIST-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.9854,0.9892,0.973,0.985449498540732,0.989186452717131,0.973091866727705,0.1135,128,4.221,1
3,1,baseline,06-Sep-2026 04:01:52,06-Sep-2026 04:02:52,60.0163174,128,1894,242432,0.000247559387374604,4039.43478211477,1.00027195666667,0,12.4656,30,0.695592409389292,0.00308597629925686,61.0666666666667,64,1973.83,0.00204102812514866,MNIST-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.9854,0.9892,0.973,0.985449498540732,0.989186452717131,0.973091866727705,0.1135,128,4.221,1
3,2,baseline_ft,06-Sep-2026 04:03:59,06-Sep-2026 04:04:59,60.0299232,128,1897,242816,0.000247223919346336,4044.91605279948,1.00049872,0,12.2885333333333,30,0.932470124633134,0.00303801937368477,61.2,65,2140.78333333333,0.00199448721012388,MNIST-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.9854,0.9892,0.973,0.985449498540732,0.989186452717131,0.973091866727705,0.1135,128,4.221,1
3,3,pruned,06-Sep-2026 04:06:06,06-Sep-2026 04:07:06,60.0122596,128,2348,300544,0.000199678781143526,5008.0433898543,1.00020432666667,0,12.1978,30,0.963110241836849,0.00243564183663251,60.5,64,2011.44666666667,0.00159279770142568,MNIST-r7,40.1120820668693,41.1153210920043,1031744,617890,20586,12122,0.9854,0.9892,0.973,0.985449498540732,0.989186452717131,0.973091866727705,0.1135,128,4.221,1
