file,W_base,W_pruned,n_base,n_pruned,energySavingPct,latencyChangePct
all_results_chestxray_run1.mat,21.2406666666667,21.7606666666667,15,15,-5.36520304977097,2.84736173428363
all_results_chestxray_run2.mat,20.9902666666667,19.9062666666667,15,15,3.07844381179246,2.19944021675552
all_results_chestxray_run3.mat,19.8687333333333,21.1285333333333,15,15,-5.62511156899176,-0.672841699003593
all_results_chestxray_run4.mat,21.3914666666667,22.3232,15,15,8.90189427298783,-12.7041780723258
all_results_chestxray_run5.mat,21.6779333333333,22.6396,15,15,-1.24646884047617,-3.05419699291275
all_results_fashion_run1.mat,18.5086,23.7157333333333,15,15,-24.2411238392491,-3.03781745348545
all_results_fashion_run2.mat,15.4851333333333,22.6205333333333,15,15,12.7869600542434,-40.297360275972
all_results_mitbih_run1.mat,22.5294666666667,22.7565714285714,15,14,-2.04235160168836,1.02399503433626
all_results_mitbih_run2.mat,22.1569333333333,23.2095714285714,15,14,-7.12378265034964,2.26533126227487
all_results_mitbih_run3.mat,11.9075333333333,9.14313333333333,15,15,40.615553049912,-22.6608367438145
all_results_mitbih_run4.mat,22.1244,22.4939333333333,15,15,-5.4441816675223,3.71193060432281
all_results_mitbih_run5.mat,18.7198666666667,17.7924,15,15,24.3975501134898,-20.4566117247353
