batchSize,refSecPerInf,prunedSecPerInf,latencyChangePct
1,0.00183913703125546,0.00143623061057443,-21.9073627377289
8,0.00030778760555879,0.000289905770173454,-5.80979710111191
32,0.000239239836440165,0.000218328774317596,-8.74062716047671
128,0.000210645556216467,0.000182497050220936,-13.3629716672516
512,0.000200403671693449,0.000177087101021865,-11.6348021343892
