dataset,block,condition,orderPosition,elapsedSec,numInferences,secPerInference,measuredWatts,energyJPerInference,theoreticalMACReduction,stalled,overrunRatio
MNIST,1,pruned,1,60.0475128,305792,0.000196367180305567,25.1623,0.00494104990100277,22.2644376899696,0,1.00079188
MNIST,1,baseline,2,60.019689,276864,0.000216784013089459,25.0244333333333,0.00542489708328963,22.2644376899696,0,1.00032815
MNIST,1,baseline_ft,3,60.0046737,272256,0.000220397984617419,23.9959,0.00528864799908112,22.2644376899696,0,1.000077895
MNIST,2,pruned,1,60.0401403,300544,0.000199771548591887,23.7378,0.00474213706616449,22.2644376899696,0,1.000669005
MNIST,2,baseline_ft,2,60.0181228,266752,0.000224995961792226,23.6085666666667,0.00531183216370257,22.2644376899696,0,1.00030204666667
MNIST,2,baseline,3,60.0124831,270208,0.000222097358701445,23.7664333333333,0.00527846206908731,22.2644376899696,0,1.00020805166667
MNIST,3,baseline,1,60.0243733,271488,0.000221094019993517,23.9182666666667,0.00528818572861028,22.2644376899696,0,1.00040622166667
MNIST,3,baseline_ft,2,60.0088578,273408,0.000219484644926264,23.1574,0.00508269371641547,22.2644376899696,0,1.00014763
MNIST,3,pruned,3,60.0066519,296960,0.000202069813779634,22.5922,0.00456520164687224,22.2644376899696,0,1.000110865
MNIST,4,baseline_ft,1,60.023156,269056,0.000223087966817317,22.8502,0.00509760465936906,22.2644376899696,0,1.00038593333333
MNIST,4,baseline,2,60.020304,266880,0.000224896223021583,21.928,0.00493152437841727,22.2644376899696,0,1.0003384
MNIST,4,pruned,3,60.002579,301056,0.000199307035900298,22.7138666666667,0.00452703343916791,22.2644376899696,0,1.00004298333333
MNIST,5,pruned,1,60.0040781,297728,0.000201539922681105,22.4317333333333,0.00452088980160316,22.2644376899696,0,1.00006796833333
MNIST,5,baseline,2,60.0366549,265600,0.000226041622364458,22.95,0.00518765523326431,22.2644376899696,0,1.000610915
MNIST,5,baseline_ft,3,60.0074908,260096,0.000230712855253445,22.2305333333333,0.00512886981914021,22.2644376899696,0,1.00012484666667
MNIST,6,baseline_ft,1,60.0014249,253056,0.000237107299965225,23.0672,0.00546940150975784,22.2644376899696,0,1.00002374833333
MNIST,6,pruned,2,60.0040556,275072,0.000218139452943229,21.8623666666667,0.00476904470471096,22.2644376899696,0,1.00006759333333
MNIST,6,baseline,3,60.0089618,257152,0.000233359887537332,22.5272333333333,0.0052569526371939,22.2644376899696,0,1.00014936333333
Fashion-MNIST,1,pruned,1,60.0133424,314624,0.000190746231692433,23.1462,0.00441505042799939,24.4395896656535,0,1.00022237333333
Fashion-MNIST,1,baseline,2,60.015829,277248,0.000216469835670591,22.9363666666667,0.00496503152321375,24.4395896656535,0,1.00026381666667
Fashion-MNIST,1,baseline_ft,3,60.0243508,281856,0.00021296105387148,22.9408333333333,0.00488550404335665,24.4395896656535,0,1.00040584666667
Fashion-MNIST,2,pruned,1,60.0154488,330880,0.000181381312862669,22.7907,0.00413380708705924,24.4395896656535,0,1.00025748
Fashion-MNIST,2,baseline_ft,2,60.0037972,284672,0.000210782223752248,23.7251,0.00500082933674446,24.4395896656535,0,1.00006328666667
Fashion-MNIST,2,baseline,3,60.0036649,279040,0.000215036069739105,23.0471333333333,0.00495596497075313,24.4395896656535,0,1.00006108166667
Fashion-MNIST,3,baseline,1,60.0074412,282240,0.000212611398809524,23.2406333333333,0.00494122356221925,24.4395896656535,0,1.00012402
Fashion-MNIST,3,baseline_ft,2,60.0183321,281216,0.000213424314761607,23.2671333333333,0.00496577198813361,24.4395896656535,0,1.000305535
Fashion-MNIST,3,pruned,3,60.0163547,333696,0.000179853383618623,23.3913448275862,0.00420701251463135,24.4395896656535,0,1.00027257833333
Fashion-MNIST,4,baseline_ft,1,60.015098,282752,0.000212253487154821,23.2786666666667,0.0049409781763147,24.4395896656535,0,1.00025163333333
Fashion-MNIST,4,baseline,2,60.0050641,285056,0.000210502722622923,22.9781,0.00483695261070179,24.4395896656535,0,1.00008440166667
Fashion-MNIST,4,pruned,3,323.7623888,196224,0.00164996325016308,17.5498636363636,0.0289566300453734,24.4395896656535,1,5.39603981333333
