block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,accBaseline,accBaselineFt,accPruned
1,1,pruned,01-Aug-2026 18:12:40,01-Aug-2026 18:13:40,60.0133424,128,2458,314624,0.000190746231692433,5242.56752611733,23.1462,30,5.1430218502087,0.00441505042799939,80.6,86,2614.61,0.00360991058402563,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
1,2,baseline,01-Aug-2026 18:14:06,01-Aug-2026 18:15:06,60.015829,128,2166,277248,0.000216469835670591,4619.58127746598,22.9363666666667,30,4.94697473895067,0.00496503152321375,80.4333333333333,86,2561.11333333333,0.00405131234684819,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
1,3,baseline_ft,01-Aug-2026 18:15:33,01-Aug-2026 18:16:33,60.0243508,128,2202,281856,0.00021296105387148,4695.69426813359,22.9408333333333,30,5.19046143110765,0.00488550404335665,81.4333333333333,89,2773.54666666667,0.00398659543496513,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
2,1,pruned,01-Aug-2026 18:16:58,01-Aug-2026 18:17:58,60.0154488,128,2585,330880,0.000181381312862669,5513.24711579929,22.7907,30,5.16826572092312,0.00413380708705924,80.8,86,2745.64,0.00336819656546591,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
2,2,baseline_ft,01-Aug-2026 18:18:25,01-Aug-2026 18:19:25,60.0037972,128,2224,284672,0.000210782223752248,4744.23308663539,23.7251,30,4.33582325913808,0.00500082933674446,81.9,87,2829.41666666667,0.00411111757028622,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
2,3,baseline,01-Aug-2026 18:19:51,01-Aug-2026 18:20:51,60.0036649,128,2180,279040,0.000215036069739105,4650.38261354599,23.0471333333333,30,5.15007626145969,0.00495596497075313,80.5,88,2714.04666666667,0.00404829772038437,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
3,1,baseline,01-Aug-2026 18:21:17,01-Aug-2026 18:22:17,60.0074412,128,2205,282240,0.000212611398809524,4703.41668226307,23.2406333333333,30,5.06235180784947,0.00494122356221925,81,86,2830.43333333333,0.00404379084784425,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
3,2,baseline_ft,01-Aug-2026 18:22:44,01-Aug-2026 18:23:44,60.0183321,128,2197,281216,0.000213424314761607,4685.50174855659,23.2671333333333,30,4.70890776363657,0.00496577198813361,81.4666666666667,88,2825.08,0.00406490795552487,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
3,3,pruned,01-Aug-2026 18:24:09,01-Aug-2026 18:25:09,60.0163547,128,2607,333696,0.000179853383618623,5560.08444144976,23.3913448275862,29,4.20312109607561,0.00420701251463135,81.0689655172414,85,2747.4724137931,0.00344785138237715,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
4,1,baseline_ft,01-Aug-2026 18:25:36,01-Aug-2026 18:26:36,60.015098,128,2209,282752,0.000212253487154821,4711.34780118163,23.2786666666667,30,4.76800642453089,0.0049409781763147,81.5333333333333,87,2623.59,0.0040450562070342,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
4,2,baseline,01-Aug-2026 18:27:02,01-Aug-2026 18:28:02,60.0050641,128,2227,285056,0.000210502722622923,4750.53238048287,22.9781,30,5.67212041084923,0.00483695261070179,81.1333333333333,87,2340.27333333333,0.00394842061851043,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
4,3,pruned,01-Aug-2026 18:28:27,01-Aug-2026 18:33:51,323.7623888,128,1533,196224,0.00164996325016308,606.07410492395,17.5498636363636,22,7.43905076058866,0.0289566300453734,74.3636363636364,88,2035.94545454546,0.021992135166435,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
5,1,pruned,01-Aug-2026 19:35:42,01-Aug-2026 19:36:42,60.0212964,128,2731,349568,0.0001717013468052,5824.06613929785,27.8256666666667,30,4.01420393906037,0.00477770444241921,66.4666666666667,73,2837.37,0.00405295305755447,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
5,2,baseline,01-Aug-2026 19:37:08,01-Aug-2026 19:38:08,60.0084107,128,2393,306304,0.000195911286499687,5104.3511472301,26.3044137931034,29,3.83356401237097,0.005153331546827,71.551724137931,77,2811.39310344828,0.00432639000651182,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
5,3,baseline_ft,01-Aug-2026 19:38:34,01-Aug-2026 19:39:34,60.0163896,128,2398,306944,0.000195528792222686,5114.33630122929,26.9950666666667,30,4.77559805197454,0.00527831278130421,73.9333333333333,81,2913.24666666667,0.00445298574933225,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
6,1,baseline_ft,01-Aug-2026 19:40:01,01-Aug-2026 19:41:01,60.0241193,128,2371,303488,0.000197780865470793,5056.10083978358,27.8974,30,4.53352243807745,0.0055175719163849,75.7333333333333,84,2795.85,0.00468273888323268,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
6,2,pruned,01-Aug-2026 19:41:26,01-Aug-2026 19:42:26,60.0122853,128,2778,355584,0.000168771050722192,5925.18678837915,27.6351333333333,30,4.14932474550717,0.00466401048951454,77.7,84,2759.57333333333,0.00395162788441617,Fashion-MNIST,24.4395896656535,22.8116195472651,0.9019,0.8966,0.893
