block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,accBaseline,accBaselineFt,accPruned
1,1,pruned,01-Aug-2026 17:10:37,01-Aug-2026 17:11:37,60.0475128,128,2389,305792,0.000196367180305567,5092.50068389177,25.1623,30,4.88348004200792,0.00494104990100277,80.4,87,2827.43,0.00411218403293297,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
1,2,baseline,01-Aug-2026 17:12:04,01-Aug-2026 17:13:04,60.019689,128,2163,276864,0.000216784013089459,4612.88628136677,25.0244333333333,30,3.71009531138221,0.00542489708328963,81.5666666666667,85,2951.77666666667,0.00450985176403902,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
1,3,baseline_ft,01-Aug-2026 17:13:30,01-Aug-2026 17:14:30,60.0046737,128,2127,272256,0.000220397984617419,4537.24657117834,23.9959,30,4.6054375234888,0.00528864799908112,81.3,87,2793.16,0.004358348106011,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
2,1,pruned,01-Aug-2026 17:14:56,01-Aug-2026 17:15:56,60.0401403,128,2348,300544,0.000199771548591887,5005.71781641889,23.7378,30,4.76390225007565,0.00474213706616449,80.6666666666667,85,2787.85,0.00389890135955813,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
2,2,baseline_ft,01-Aug-2026 17:16:23,01-Aug-2026 17:17:23,60.0181228,128,2084,266752,0.000224995961792226,4444.52421294323,23.6085666666667,30,5.14103740157255,0.00531183216370257,81.2,86,2844.04666666667,0.00436212420897758,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
2,3,baseline,01-Aug-2026 17:17:49,01-Aug-2026 17:18:49,60.0124831,128,2111,270208,0.000222097358701445,4502.52990781513,23.7664333333333,30,4.5335517452034,0.00527846206908731,80.5333333333333,84,2727.01,0.00434098911800851,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
3,1,baseline,01-Aug-2026 17:19:16,01-Aug-2026 17:20:16,60.0243733,128,2121,271488,0.000221094019993517,4522.96267456407,23.9182666666667,30,4.09077912596993,0.00528818572861028,80.5,86,2737.66333333333,0.00435494787021764,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
3,2,baseline_ft,01-Aug-2026 17:20:42,01-Aug-2026 17:21:42,60.0088578,128,2136,273408,0.000219484644926264,4556.12737891505,23.1574,30,4.92119512117632,0.00508269371641547,80.3,85,2811.13,0.00415624903018171,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
3,3,pruned,01-Aug-2026 17:22:08,01-Aug-2026 17:23:08,60.0066519,128,2320,296960,0.000202069813779634,4948.78468631908,22.5922,30,5.35469065657263,0.00456520164687224,79.7666666666667,86,2645.19333333333,0.00371226496290841,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
4,1,baseline_ft,01-Aug-2026 17:23:35,01-Aug-2026 17:24:35,60.023156,128,2102,269056,0.000223087966817317,4482.5367063338,22.8502,30,5.43144332376859,0.00509760465936906,80.3333333333333,87,2606.62333333333,0.00415595035143316,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
4,2,baseline,01-Aug-2026 17:25:01,01-Aug-2026 17:26:01,60.020304,128,2085,266880,0.000224896223021583,4446.49530598845,21.928,30,5.43285463796349,0.00493152437841727,79.3333333333333,87,2532.47333333333,0.00398223742104317,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
4,3,pruned,01-Aug-2026 17:26:27,01-Aug-2026 17:27:27,60.002579,128,2352,301056,0.000199307035900298,5017.38433609662,22.7138666666667,30,5.40610647536547,0.00452703343916791,80.0666666666667,86,2541.78666666667,0.00368575844063275,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
5,1,pruned,01-Aug-2026 17:27:53,01-Aug-2026 17:28:53,60.0040781,128,2326,297728,0.000201539922681105,4961.79608832287,22.4317333333333,30,5.03056275684686,0.00452088980160316,79.4,84,2690.10333333333,0.00367018978796622,MNIST,22.2644376899696,24.7546876518022,0.9886,0.9876,0.9731
