block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,accBaseline,accBaselineFt,accPruned
1,1,pruned,01-Aug-2026 22:10:00,01-Aug-2026 22:11:00,60.0510907,64,288,18432,0.0032579801812066,306.938638168649,1.00085151166667,0,21.4956,30,4.75590980889512,0.0700322387831445,81.0333333333333,86,2328.96666666667,0.0562803044382715,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
1,2,baseline,01-Aug-2026 22:12:04,01-Aug-2026 22:13:04,60.0792791,64,272,17408,0.0034512453527114,289.750480711078,1.00132131833333,0,20.1419,30,5.77277330321786,0.0695146387697777,80.7,86,2291.08333333333,0.0549469321359828,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
1,3,baseline_ft,01-Aug-2026 22:14:05,01-Aug-2026 22:15:06,60.0751679,64,270,17280,0.00347657221643519,287.639645531478,1.00125279833333,0,20.9831333333333,30,5.18074467243074,0.0729493783604217,79.8666666666667,85,2232.53,0.0582747670348488,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
2,1,pruned,01-Aug-2026 22:16:03,01-Aug-2026 22:17:03,60.1086514,64,298,19072,0.00315167006082215,317.292096159056,1.00181085666667,0,20.404,30,5.40232980392208,0.0643066759210151,79.9333333333333,87,2180.68666666667,0.0510034765942848,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
2,2,baseline_ft,01-Aug-2026 22:18:04,01-Aug-2026 22:19:04,60.1586735,64,273,17472,0.00344314752174908,290.431935803904,1.00264455833333,0,19.7766333333333,30,5.23336891220793,0.068093866050207,79.1666666666667,85,2314.03,0.0535603403609041,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
2,3,baseline,01-Aug-2026 22:20:06,01-Aug-2026 22:21:06,60.1008579,64,269,17216,0.00349098849326208,286.451817853336,1.001680965,0,20.1817,30,5.32011189375458,0.0704540824744673,80.1333333333333,86,2348.94,0.0557186200444081,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
3,1,baseline,01-Aug-2026 22:22:08,01-Aug-2026 22:23:08,60.058483,64,269,17216,0.00348852712592937,286.653926973147,1.00097471666667,0,20.1066896551724,29,5.54582813668751,0.0701427322747124,80.4827586206897,86,2370.41034482759,0.0554176592761645,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
3,2,baseline_ft,01-Aug-2026 22:24:09,01-Aug-2026 22:25:09,60.0809954,64,272,17408,0.0034513439453125,289.74220357208,1.00134992333333,0,20.3198666666667,30,5.26254124880768,0.0701308487895573,80.9333333333333,87,2375.84666666667,0.0555627259963932,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
3,3,pruned,01-Aug-2026 22:26:07,01-Aug-2026 22:27:07,60.2337963,64,296,18944,0.00317957117293074,314.507820587095,1.003896605,0,20.5243333333333,30,5.05901108868149,0.0652585786102882,80.6666666666667,86,2420.06666666667,0.0518376086893476,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
4,1,baseline_ft,01-Aug-2026 22:28:08,01-Aug-2026 22:29:08,60.0165324,64,265,16960,0.00353871063679245,282.588802148123,1.00027554,0,19.9028666666667,30,5.62995380475525,0.0704304859759953,79.8333333333333,89,2260.5,0.0554935883780943,ChestX-ray14,22.2307692307692,24.931141210211,0.606271777003484,0.533101045296167,0.45993031358885
